Id,SalePrice
1461,124827.0
1462,158988.0
1463,187853.0
1464,193032.0
1465,185165.0
1466,172096.0
1467,175743.0
1468,165182.0
1469,179035.0
1470,125161.0
1471,208830.0
1472,97631.0
1473,94377.0
1474,155525.0
1475,120194.0
1476,387109.0
1477,251744.0
1478,268729.0
1479,281824.0
1480,464524.0
1481,320014.0
1482,208086.0
1483,165781.0
1484,165092.0
1485,190930.0
1486,196635.0
1487,335816.0
1488,236365.0
1489,203326.0
1490,216772.0
1491,192248.0
1492,92268.0
1493,174210.0
1494,310962.0
1495,293834.0
1496,225993.0
1497,180704.0
1498,160151.0
1499,161749.0
1500,151633.0
1501,171681.0
1502,140576.0
1503,290871.0
1504,245432.0
1505,222401.0
1506,186619.0
1507,246779.0
1508,207167.0
1509,162463.0
1510,144755.0
1511,145732.0
1512,167271.0
1513,140371.0
1514,162868.0
1515,202610.0
1516,150063.0
1517,165060.0
1518,131305.0
1519,222437.0
1520,131965.0
1521,136687.0
1522,172566.0
1523,113092.0
1524,127640.0
1525,126425.0
1526,115087.0
1527,101455.0
1528,137678.0
1529,151119.0
1530,170272.0
1531,105866.0
1532,99290.0
1533,137493.0
1534,121810.0
1535,160467.0
1536,102584.0
1537,64326.0
1538,161776.0
1539,184724.0
1540,84275.0
1541,145094.0
1542,139195.0
1543,215213.0
1544,77950.0
1545,108794.0
1546,128459.0
1547,131410.0
1548,133981.0
1549,112261.0
1550,135052.0
1551,114744.0
1552,140930.0
1553,154715.0
1554,109019.0
1555,161906.0
1556,81613.0
1557,115140.0
1558,98789.0
1559,70537.0
1560,142992.0
1561,132266.0
1562,131305.0
1563,122644.0
1564,155118.0
1565,148058.0
1566,242265.0
1567,77800.0
1568,231791.0
1569,131328.0
1570,136643.0
1571,130466.0
1572,146995.0
1573,236790.0
1574,110534.0
1575,224057.0
1576,242473.0
1577,188594.0
1578,149709.0
1579,149622.0
1580,194042.0
1581,151514.0
1582,128265.0
1583,341365.0
1584,227875.0
1585,140967.0
1586,65457.0
1587,97071.0
1588,143791.0
1589,98458.0
1590,131381.0
1591,96469.0
1592,120910.0
1593,126900.0
1594,136947.0
1595,106621.0
1596,242384.0
1597,182988.0
1598,214701.0
1599,177303.0
1600,179535.0
1601,66558.0
1602,112903.0
1603,78112.0
1604,273666.0
1605,256290.0
1606,166400.0
1607,177619.0
1608,209808.0
1609,191748.0
1610,148714.0
1611,138196.0
1612,155506.0
1613,161716.0
1614,123520.0
1615,88408.0
1616,76225.0
1617,91813.0
1618,130354.0
1619,139589.0
1620,177324.0
1621,140386.0
1622,145484.0
1623,294054.0
1624,215449.0
1625,124171.0
1626,162616.0
1627,193206.0
1628,256572.0
1629,186729.0
1630,338610.0
1631,212450.0
1632,232954.0
1633,177441.0
1634,188749.0
1635,174371.0
1636,151964.0
1637,196816.0
1638,179835.0
1639,181678.0
1640,267614.0
1641,178632.0
1642,225685.0
1643,230982.0
1644,226605.0
1645,188833.0
1646,157462.0
1647,161421.0
1648,129401.0
1649,136261.0
1650,115471.0
1651,126138.0
1652,96269.0
1653,100097.0
1654,147814.0
1655,149800.0
1656,146156.0
1657,151222.0
1658,148599.0
1659,125350.0
1660,158296.0
1661,443139.0
1662,428922.0
1663,395345.0
1664,384247.0
1665,308955.0
1666,322497.0
1667,333496.0
1668,344105.0
1669,299396.0
1670,361573.0
1671,272185.0
1672,451746.0
1673,297355.0
1674,245297.0
1675,185548.0
1676,185494.0
1677,221090.0
1678,432082.0
1679,399800.0
1680,347188.0
1681,253827.0
1682,297730.0
1683,172125.0
1684,179596.0
1685,173103.0
1686,169696.0
1687,173699.0
1688,193047.0
1689,198305.0
1690,199352.0
1691,184467.0
1692,258019.0
1693,167001.0
1694,181287.0
1695,173704.0
1696,286607.0
1697,178453.0
1698,368766.0
1699,315672.0
1700,241169.0
1701,267438.0
1702,239523.0
1703,250171.0
1704,297226.0
1705,227379.0
1706,365947.0
1707,210150.0
1708,199271.0
1709,281867.0
1710,221287.0
1711,245980.0
1712,275617.0
1713,282810.0
1714,221689.0
1715,200799.0
1716,186655.0
1717,178911.0
1718,135999.0
1719,200254.0
1720,248747.0
1721,175438.0
1722,128405.0
1723,157963.0
1724,217641.0
1725,235699.0
1726,179361.0
1727,153674.0
1728,187638.0
1729,165802.0
1730,166035.0
1731,120519.0
1732,127985.0
1733,118654.0
1734,126073.0
1735,134157.0
1736,113562.0
1737,335585.0
1738,226710.0
1739,266028.0
1740,210362.0
1741,195950.0
1742,170516.0
1743,178769.0
1744,308365.0
1745,204252.0
1746,186001.0
1747,215934.0
1748,221228.0
1749,143071.0
1750,123542.0
1751,231479.0
1752,118974.0
1753,144137.0
1754,196143.0
1755,157706.0
1756,133793.0
1757,120837.0
1758,147564.0
1759,163403.0
1760,162455.0
1761,137975.0
1762,175030.0
1763,171222.0
1764,115002.0
1765,169502.0
1766,183662.0
1767,226688.0
1768,146097.0
1769,176818.0
1770,151419.0
1771,126932.0
1772,134515.0
1773,131871.0
1774,134488.0
1775,141927.0
1776,125355.0
1777,114803.0
1778,142967.0
1779,117668.0
1780,185858.0
1781,131379.0
1782,83762.0
1783,140399.0
1784,106848.0
1785,117484.0
1786,146971.0
1787,162539.0
1788,52820.0
1789,98642.0
1790,71549.0
1791,185491.0
1792,159694.0
1793,137424.0
1794,147780.0
1795,139284.0
1796,114823.0
1797,107985.0
1798,124242.0
1799,107757.0
1800,124970.0
1801,137906.0
1802,140267.0
1803,147516.0
1804,137547.0
1805,138665.0
1806,117939.0
1807,129435.0
1808,122080.0
1809,123737.0
1810,142273.0
1811,100888.0
1812,94114.0
1813,122605.0
1814,93397.0
1815,54106.0
1816,95730.0
1817,107516.0
1818,137620.0
1819,113074.0
1820,55223.0
1821,114977.0
1822,144940.0
1823,41802.0
1824,130937.0
1825,136517.0
1826,99814.0
1827,104776.0
1828,132447.0
1829,108651.0
1830,144648.0
1831,151725.0
1832,82621.0
1833,139923.0
1834,120363.0
1835,129425.0
1836,125109.0
1837,86821.0
1838,127007.0
1839,84847.0
1840,143327.0
1841,139449.0
1842,83836.0
1843,129011.0
1844,121299.0
1845,145383.0
1846,150293.0
1847,160539.0
1848,51581.0
1849,111078.0
1850,117611.0
1851,154002.0
1852,121458.0
1853,133738.0
1854,177676.0
1855,147165.0
1856,227394.0
1857,169816.0
1858,143418.0
1859,120976.0
1860,143427.0
1861,120849.0
1862,306385.0
1863,285502.0
1864,285502.0
1865,334962.0
1866,342717.0
1867,250014.0
1868,311414.0
1869,206465.0
1870,248173.0
1871,236211.0
1872,169111.0
1873,242399.0
1874,144791.0
1875,197293.0
1876,189508.0
1877,219700.0
1878,197411.0
1879,123137.0
1880,132989.0
1881,244028.0
1882,267436.0
1883,184406.0
1884,205930.0
1885,251315.0
1886,298386.0
1887,208874.0
1888,297178.0
1889,164430.0
1890,119256.0
1891,132829.0
1892,105930.0
1893,128916.0
1894,124264.0
1895,133624.0
1896,124672.0
1897,118550.0
1898,113662.0
1899,154808.0
1900,149807.0
1901,171931.0
1902,142681.0
1903,205767.0
1904,139882.0
1905,188953.0
1906,169712.0
1907,211815.0
1908,111858.0
1909,133508.0
1910,118922.0
1911,215921.0
1912,312690.0
1913,147338.0
1914,49054.0
1915,312834.0
1916,68058.0
